"Member__r.Name","Challenge__r.Challenge_Id__c","Place__c","Points_Awarded__c","Score__c","Status__c","Submitted_Date__c"
"sam1991","1152","","0.0","0.0","Submission Rejected","2011-12-19T14:03:04.000Z"
"wprice","1167","","0.0","0.0","Registered",""
"jiban","1164","","0.0","0.0","Registered",""
"jiban","1166","","0.0","0.0","Registered",""
"jiban","1167","","0.0","0.0","Registered",""
"jazzyrocksr","1167","1","500.0","100.0","Won","2011-12-19T14:03:20.000Z"
"techunite","1145","","0.0","0.0","Registered",""
"wprice","1168","","0.0","0.0","Registered",""
"nabila","1194","","0.0","0.0","Registered",""
"Anuragmishra","1194","","0.0","0.0","Registered",""
"Sandeep7474","1196","","0.0","0.0","Registered",""
"raisukesh","1191","","0.0","0.0","Registered",""
"manurajRA","1194","","0.0","0.0","Registered",""
"Amuthan","1191","","0.0","0.0","Registered",""
"dsunil28","1181","","0.0","0.0","Registered",""
"jame","1183","","0.0","0.0","Registered",""
"jyoshna","1179","","0.0","0.0","Registered",""
"joysagay","1182","","0.0","0.0","Registered",""
"tanayajana","1333","","0.0","0.0","Watching",""
"vishnugoel","1339","","0.0","0.0","Registered",""
"rubylopez","1333","","0.0","0.0","Registered",""
"logontokartik","1344","","0.0","0.0","Watching",""
"arnabsinha","1334","","0.0","0.0","Registered",""
"devkantmohan","1335","","0.0","0.0","Registered",""
"l33tnerd","1332","","0.0","0.0","Registered",""
"mindblaster","1328","","0.0","0.0","Registered",""
"mail2sanand","1335","","0.0","0.0","Registered",""
"priyaG6855","1334","","0.0","0.0","Registered",""
"varesh","1335","","0.0","0.0","Registered",""
"Anand199","1336","","0.0","0.0","Registered",""
"varesh","1333","","0.0","0.0","Registered",""
"pulak","1330","","0.0","0.0","Registered",""
"spyplus","1343","","0.0","0.0","Registered",""
"widgetammarahmed","1343","","0.0","0.0","Registered",""
"piyushrgi","1347","","0.0","0.0","Watching",""
"negitwit","1345","","0.0","0.0","Registered",""
"MohammedAsif","1342","","0.0","0.0","Registered",""
"rohmaxgore","1345","","0.0","0.0","Registered",""
"khadeer","1348","","0.0","0.0","Registered",""
"jie0722","1347","","0.0","0.0","Registered",""
"almopeluche","1345","","0.0","99.6","Registered","2012-01-04T18:33:21.000Z"
"AmudhaSundararaj","1347","","0.0","0.0","Watching",""
"rubixtious","1344","2","500.0","99.86","Lost","2012-01-09T19:03:44.000Z"
"nandakishor","1605","","0.0","0.0","Registered",""
"avidev9","1334","1","1250.0","98.94","Won","2011-12-19T14:03:09.000Z"
"majaz_elahi","1329","","0.0","0.0","Registered",""
"arjunpunnappurath","1334","","0.0","0.0","Registered",""
"abhar","1329","1","1500.0","100.0","Won","2011-12-19T14:03:22.000Z"
"dhoechst","1334","","0.0","0.0","Registered",""
"ahsanismail","1335","","0.0","0.0","Registered",""
"dkrishnaprasad","1336","1","1500.0","92.0","Won","2011-12-19T14:03:09.000Z"
"307974","1330","","0.0","0.0","Registered",""
"talk2venky","1336","","0.0","0.0","Registered",""
"neeravahlawat","1336","","0.0","0.0","Registered",""
"Shamshad","1334","","0.0","0.0","Registered",""
"avidev9","1330","1","500.0","90.0","Won","2011-12-19T14:03:09.000Z"
"jinekim","1334","","0.0","0.0","Registered",""
"clintslee","1102","2","300.0","92.0","Lost","2011-12-19T14:03:01.000Z"
"zeniarun","1103","","0.0","0.0","Registered",""
"sandip","1102","","0.0","0.0","Registered",""
"sandip","1097","","0.0","0.0","Registered",""
"manish_jatwani","1097","","0.0","0.0","Registered",""
"culdude4074","1097","","0.0","0.0","Registered",""
"karthikaC","1103","","0.0","0.0","Registered",""
"akasht2","1101","","0.0","0.0","Registered",""
"sagu072","1100","","0.0","0.0","Registered",""
"vivekguptaaki","1097","","0.0","0.0","Registered",""
"puligundla","1103","","0.0","0.0","Registered",""
"bbotond","1103","","0.0","0.0","Registered",""
"saikatde","1097","","0.0","0.0","Registered",""
"badboyacount","1097","","0.0","0.0","Registered","2011-12-19T14:03:01.000Z"
"xlipow","1100","","0.0","0.0","Registered",""
"thiyagarajan","1097","","0.0","0.0","Registered",""
"faizalnr","1103","","0.0","0.0","Registered",""
"rizwany","1097","","0.0","0.0","Registered",""
"ragesh","1100","","0.0","0.0","Registered",""
"tanu","1097","","0.0","0.0","Registered",""
"Chennu","1103","","0.0","0.0","Registered",""
"alvincapistrano29","1106","","0.0","0.0","Registered",""
"rjdthegreat","1103","","0.0","0.0","Registered",""
"rjdthegreat","1106","","0.0","0.0","Registered",""
"kamalhassan","1103","","0.0","0.0","Registered",""
"manzar_c","1103","","0.0","0.0","Registered",""
"Nikhil338389","1103","","0.0","0.0","Registered",""
"tarunkumaryadav","1104","","0.0","0.0","Registered",""
"avro","1105","","0.0","0.0","Registered",""
"chriswoolcott","1102","2","300.0","92.0","Lost","2011-12-19T14:03:01.000Z"
"Robinkumar","1104","","0.0","0.0","Registered",""
"knthornt","1105","1","500.0","100.0","Won","2011-12-19T14:03:01.000Z"
"Kenji776","1106","1","840.0","100.0","Won","2011-12-19T14:03:01.000Z"
"gokulnath","1105","","0.0","25.0","Registered","2011-12-19T14:03:01.000Z"
"arjunk","1103","","0.0","0.0","Registered",""
"bhavinp","1103","","0.0","0.0","Registered",""
"shivnamha","1121","","0.0","0.0","Registered",""
"nitishgoyal1666","1117","","0.0","0.0","Registered",""
"RAJAT1990","1129","","0.0","0.0","Registered",""
"manujohn48","1117","","0.0","0.0","Registered",""
"cheen","1119","","0.0","0.0","Registered",""
"psvalent05","1117","","0.0","0.0","Registered",""
"ParvinderSingh","1117","","0.0","0.0","Registered","2011-12-19T14:03:03.000Z"
"vallava","1117","","0.0","0.0","Registered",""
"SURAVI","1117","","0.0","0.0","Registered","2011-12-19T14:03:03.000Z"
"romin","1128","1","1000.0","100.0","Won","2011-12-19T14:03:04.000Z"
"acerbetti","1129","1","1250.0","100.0","Won","2011-12-19T14:03:19.000Z"
"sanjaycloudspokes","1117","","0.0","0.0","Registered","2011-12-19T14:03:03.000Z"
"selvamcc","1129","","0.0","0.0","Registered",""
"m_s_pawan","1117","","0.0","0.0","Registered",""
"smrutiwriteme","1119","","0.0","0.0","Registered",""
"dineshrabara","1117","","0.0","0.0","Registered",""
