Platform__r.Name,Challenge__r.Challenge_Id__c
Salesforce.com,1343
Google,1345
Salesforce.com,1923
Salesforce.com,1995
Google,1590
Newbie,1558
Salesforce.com,1593
Google,1595
Heroku,1350
Salesforce.com,1645
Salesforce.com,1646
Salesforce.com,1594
Salesforce.com,1592
Newbie,1593
Salesforce.com,1350
Box,1909
Google,1599
Salesforce.com,1735
Salesforce.com,1597
Google,1598
Mobile,1906
Box,1908
Salesforce.com,1638
Mobile,1637
Other,1601
Salesforce.com,1614
Salesforce.com,1600
Salesforce.com,1616
Cloud Foundry,1604
Mobile,1616
Salesforce.com,1637
Salesforce.com,1602
Salesforce.com,1344
Other,1327
Heroku,1604
Mobile,1622
Salesforce.com,1622
Salesforce.com,1603
Google,1919
Other,1340
Salesforce.com,1617
Salesforce.com,1609
Salesforce.com,1910
Salesforce.com,1400
Google,1398
Google,1920
Salesforce.com,1399
Heroku,1668
Facebook,1398
Salesforce.com,1608
Salesforce.com,1619
Other,1618
Heroku,1398
Cloud Foundry,1398
Salesforce.com,1401
Heroku,1070
Twilio,1070
Salesforce.com,1081
Heroku,1081
Salesforce.com,1085
Twilio,1085
Salesforce.com,1083
Salesforce.com,1084
Google,1084
Salesforce.com,1088
Google,1088
AWS,1088
Heroku,1088
Mobile,1088
Twilio,1088
Google,1068
Salesforce.com,1065
Mobile,1065
Mobile,1075
Salesforce.com,1070
Google,1070
Salesforce.com,1093
Salesforce.com,1092
Mobile,1092
Other,1098
Salesforce.com,1091
Google,1091
Mobile,1091
Google,1066
Salesforce.com,1069
Google,1069
Salesforce.com,1076
Heroku,1076
Salesforce.com,1067
Google,1067
AWS,1067
Heroku,1067
Salesforce.com,1071
Other,1071
Salesforce.com,1099
Google,1099
Salesforce.com,1101
Google,1101
Salesforce.com,1096
Other,1096
Salesforce.com,1097
Google,1097
AWS,1097
Heroku,1097
Salesforce.com,1086
Salesforce.com,1064
Google,1064
AWS,1064
Heroku,1064
Mobile,1064
Salesforce.com,1060
Google,1060
AWS,1060
Heroku,1060
Salesforce.com,1063
Other,1063
Other,1079
Other,1078
Mobile,1097
Twilio,1097
Other,1097
Salesforce.com,1105
Salesforce.com,1103
Heroku,1095
Other,1095
Salesforce.com,1087
Google,1347
Other,1611
Salesforce.com,1610
Salesforce.com,1618
Salesforce.com,1612
Other,1087
Google,1104
Twilio,1089
Other,1089
Other,1107
Google,1113
Salesforce.com,1102
Twilio,1102
Google,1109
Other,1109
Google,1111
Mobile,1111
Salesforce.com,1100
Cloud Foundry,1120
Cloud Foundry,1121
AWS,1114
Heroku,1114
Google,1116
Salesforce.com,1110
Google,1126
Salesforce.com,1122
Other,1122
Cloud Foundry,1119
Google,1133
AWS,1133
Mobile,1100
Salesforce.com,1118
Salesforce.com,1108
Salesforce.com,1117
Google,1117
AWS,1117
Mobile,1117
Google,1118
Other,1117
Twilio,1123
Salesforce.com,1137
Google,1137
Heroku,1133
Mobile,1133
Other,1133
Salesforce.com,1130
Mobile,1130
Salesforce.com,1131
Google,1128
Google,1127
Newbie,1605
Other,1667
Salesforce.com,1626
Salesforce.com,1348
Heroku,1626
AWS,1777
Salesforce.com,1625
Salesforce.com,1629
Google,1627
Salesforce.com,1914
Other,1623
Box,1671
DocuSign,1917
Heroku,1636
Salesforce.com,1585
Salesforce.com,1935
Google,1586
Facebook,1392
Salesforce.com,1392
Salesforce.com,1588
Salesforce.com,1345
Google,1589
Cloud Foundry,1350
Google,1350
Salesforce.com,1630
Mobile,1633
Salesforce.com,1631
Mobile,1629
Mobile,1636
Salesforce.com,1633
Mobile,1634
Google,1423
Salesforce.com,1916
Salesforce.com,1927
Salesforce.com,1917
Salesforce.com,1928
Salesforce.com,1636
Salesforce.com,1930
Salesforce.com,1936
Salesforce.com,1698
Heroku,1226
Cloud Foundry,1226
Google,1227
Other,1227
Heroku,1222
Salesforce.com,1217
Heroku,1228
Cloud Foundry,1228
Heroku,1235
Salesforce.com,1234
Other,1234
Salesforce.com,1230
Google,1230
Heroku,1230
Cloud Foundry,1230
Salesforce.com,1236
Other,1239
Salesforce.com,1223
Other,1223
Salesforce.com,1232
Google,1218
Salesforce.com,1132
Salesforce.com,1135
Other,1135
Salesforce.com,1136
Other,1136
Salesforce.com,1124
Other,1124
Salesforce.com,1125
