Technology__r.Name,Challenge__r.Challenge_Id__c
Ruby,1922
JavaScript,1596
Ruby,1925
Ruby,1908
Ruby,1911
Ruby,1905
Java,1595
JavaScript,1646
JavaScript,1597
Python,1395
JavaScript,1620
HTML5,1637
JavaScript,1600
Java,1601
JavaScript,1397
Design,1906
JavaScript,1616
HTML5,1603
HTML5,1622
Java,1397
Ruby,1397
Ruby,1604
Node.js,1668
JavaScript,1399
JavaScript,1609
JavaScript,1345
Node.js,1088
Node.js,1067
Node.js,1064
Java,1103
Ruby,1095
Ruby,1991
JavaScript,1087
JavaScript,1106
Java,1109
Ruby,1114
Java,1116
JavaScript,1118
Java,1117
Java,1133
JavaScript,1605
Ruby,1924
Ruby,1913
JavaScript,1954
Java,1777
JavaScript,1344
Ruby,1912
HTML5,1631
JavaScript,1635
Ruby,1923
HTML5,1902
JavaScript,1902
JavaScript,1904
JavaScript,1903
Python,1908
HTML5,1629
Ruby,1914
Python,1627
Node.js,1635
HTML5,1633
JavaScript,1916
JavaScript,1918
Node.js,1698
Java,1226
Ruby,1226
Ruby,1228
Ruby,1235
Ruby,1157
Java,1159
Ruby,1159
Java,1196
Ruby,1188
Ruby,1198
Ruby,1199
Ruby,1206
Ruby,1200
Ruby,1207
Java,1210
Ruby,1210
Ruby,1213
Ruby,1212
Java,1211
Ruby,1211
Ruby,1221
Ruby,1220
Ruby,1214
Ruby,1195
Ruby,1335
Ruby,1320
Ruby,1321
Java,1338
Java,1339
Ruby,1457
JavaScript,1999
JavaScript,1996
JavaScript,1711
Design,1929
JavaScript,1930
HTML5,1930
Java,1932
JavaScript,1699
JavaScript,1651
JavaScript,1641
JavaScript,1640
JavaScript,1643
Java,1654
HTML5,1656
JavaScript,1656
JavaScript,1658
Ruby,1822
Ruby,1659
JavaScript,1352
Java,1353
Node.js,1354
Python,1738
Ruby,1736
Design,1975
HTML5,1742
Design,1976
Design,1977
JavaScript,1766
JavaScript,1741
JavaScript,1765
JavaScript,1755
Ruby,1755
Design,1978
HTML5,1416
Ruby,1799
Java,1801
JavaScript,1983
JavaScript,1797
PHP,1799
Java,1773
JavaScript,1773
Ruby,1787
Ruby,1790
Java,1431
Java,1433
Java,1804
Node.js,1799
JavaScript,1798
Ruby,1804
Python,1799
JavaScript,1792
Ruby,1783
Ruby,1785
Java,1789
JavaScript,1791
Java,1788
Java,1794
JavaScript,1794
Ruby,1784
Ruby,1786
Node.js,1791
Node.js,1755
Ruby,1364
JavaScript,1745
Node.js,1745
JavaScript,1363
JavaScript,1744
Ruby,1751
Java,1808
JavaScript,1993
Ruby,1370
Ruby,1371
JavaScript,1764
JavaScript,1367
Ruby,2003
Java,1370
Python,1749
Node.js,1753
JavaScript,1767
JavaScript,1757
Java,1366
Python,1366
JavaScript,1763
Ruby,1375
Java,1381
Ruby,1383
HTML5,1997
JavaScript,1997
Python,1381
Java,1806
JavaScript,1376
Ruby,1987
JavaScript,1825
Ruby,1376
JavaScript,1815
Python,1816
Ruby,1825
JavaScript,1827
Java,1816
Python,1388
Java,1795
JavaScript,1807
JavaScript,1998
Python,1795
JavaScript,1816
JavaScript,2000
Ruby,1816
JavaScript,2005
Ruby,1821
Java,1825
JavaScript,1814
Node.js,1814
HTML5,1829
Ruby,1834
JavaScript,1836
JavaScript,1419
JavaScript,1828
Java,1943
JavaScript,1835
JavaScript,1842
JavaScript,1829
JavaScript,1837
Java,1391
Java,1941
Python,1941
JavaScript,1957
Ruby,1433
Ruby,1937
Ruby,1956
JavaScript,1844
Python,1421
JavaScript,1847
Java,1846
HTML5,1844
JavaScript,1949
JavaScript,1853
Java,1848
Ruby,1444
Java,1439
JavaScript,1848
JavaScript,1948
Java,1440
Ruby,1440
Ruby,1848
Java,1951
JavaScript,1962
Design,1962
JavaScript,1961
JavaScript,1959
JavaScript,1861
Java,1856
JavaScript,1860
Python,1856
JavaScript,1855
Python,1857
Python,1447
Node.js,1449
HTML5,1862
Java,1449
Design,1863
Ruby,1449
Java,1447
HTML5,1448
JavaScript,1859
JavaScript,1448
Node.js,1860
Ruby,1866
JavaScript,1868
JavaScript,1877
Java,1456
Python,1858
Java,1875
Ruby,1875
JavaScript,1864
Python,1463
Python,1462
Python,1461
Java,1866
Python,1460
Java,1858
JavaScript,1858
Java,1884
Design,1882
Ruby,1876
Ruby,1858
JavaScript,1477
Amazon,1885
Amazon,1876
JavaScript,1897
JavaScript,1493
JavaScript,1892
Node.js,1893
Design,1894
JavaScript,1889
Python,1489
JavaScript,1494
Java,1501
JavaScript,1496
JavaScript,1896
Java,1502
Ruby,1899
JavaScript,1900
Node.js,1900
JavaScript,1500
JavaScript,1495
HTML5,1503
JavaScript,1503
HTML5,1507
HTML5,1504
Ruby,1512
JavaScript,1512
Java,1512
HTML5,1522
HTML5,1523
JavaScript,1530
JavaScript,1531
HTML5,1528
JavaScript,1529
HTML5,1580
JavaScript,1580
Python,1580
JavaScript,1569
JavaScript,1567
Node.js,1567
JavaScript,1578
Ruby,1544
Python,1545
Java,1536
Java,1566
JavaScript,1543
JavaScript,1548
HTML5,1546
JavaScript,1546
Ruby,1536
JavaScript,1536
Node.js,1548
Node.js,1536
JavaScript,1542
Ruby,1540
Ruby,1570
Python,1577
JavaScript,1550
JavaScript,1575
Java,1555
Java,1539
HTML5,1579
JavaScript,1559
JavaScript,1581
JavaScript,1560
JavaScript,1564
